id,item_id,item_description,item_description_short,item_category,item_sub_category,the_order,user_configurable,sms_keyword,is_void,field_name
31187,GN11HE,GN 1.1 HE Child/adolescent has unknown HIV status (0-17),GN 1.1 HE Child/adolescent has unknown HIV status (0-17),CasePlan Gaps – Health,,1,FALSE,FALSE,FALSE,case_plan_gaps_health
31188,GN12HE,GN 1.2 HE HIV status of HEI not confirmed at 18 months /one week after cessation of breastfeeding whichever comes later,GN 1.2 HE HIV status of HEI not confirmed at 18 months /one week after cessation of,CasePlan Gaps – Health,,2,FALSE,FALSE,FALSE,case_plan_gaps_health
31189,GN13HE,GN 1.3 HE HIV status of the caregiver not known,GN 1.3 HE HIV status of the caregiver not known,CasePlan Gaps – Health,,3,FALSE,FALSE,FALSE,case_plan_gaps_health
31190,GN21HE,GN 2.1 HE HIV positive child/adolescent not enrolled on treatment,GN 2.1 HE HIV positive child/adolescent not enrolled on treatment,CasePlan Gaps – Health,,4,FALSE,FALSE,FALSE,case_plan_gaps_health
31191,GN22HE,GN 2.2 HE Child/adolescent on treatment with no documented viral load results,GN 2.2 HE Child/adolescent on treatment with no documented viral load results,CasePlan Gaps – Health,,5,FALSE,FALSE,FALSE,case_plan_gaps_health
31192,GN23HE,GN 2.3 HE Child/adolescent on treatment with documented viral load results not suppressed,GN 2.3 HE Child/adolescent on treatment with documented viral load results not suppr,CasePlan Gaps – Health,,6,FALSE,FALSE,FALSE,case_plan_gaps_health
31193,GN24HE,GN 2.4 HE Child/adolescent living with HIV not attending their appointments regularly (past 12 months),GN 2.4 HE Child/adolescent living with HIV not attending their appointments regula,CasePlan Gaps – Health,,7,FALSE,FALSE,FALSE,case_plan_gaps_health
31194,GN25HE,GN 2.5 HE Child/adolescent living with HIV not adhering to medication,GN 2.5 HE Child/adolescent living with HIV not adhering to medication,CasePlan Gaps – Health,,8,FALSE,FALSE,FALSE,case_plan_gaps_health
31195,GN26HE,GN 2.6 HE HIV positive caregiver not enrolled on treatment,GN 2.6 HE HIV positive caregiver not enrolled on treatment,CasePlan Gaps – Health,,9,FALSE,FALSE,FALSE,case_plan_gaps_health
31196,GN27HE,GN 2.7 HE HIV positive caregiver on treatment with no documented viral load results,GN 2.7 HE HIV positive caregiver on treatment with no documented viral load results,CasePlan Gaps – Health,,10,FALSE,FALSE,FALSE,case_plan_gaps_health
31197,GN28HE,GN 2.8 HE HIV positive caregiver on treatment with documented viral load results not suppressed,GN 2.8 HE HIV positive caregiver on treatment with documented viral load results not,CasePlan Gaps – Health,,11,FALSE,FALSE,FALSE,case_plan_gaps_health
31198,GN29HE,GN 2.9 HE HIV positive caregiver not attending their appointments regularly (past 12 months),GN 2.9 HE HIV positive caregiver not attending their appointments regularly (past 12 m,CasePlan Gaps – Health,,12,FALSE,FALSE,FALSE,case_plan_gaps_health
31199,GN210H,GN 2.10 HE HIV positive caregiver not adhering to medication,GN 2.10 HE HIV positive caregiver not adhering to medication,CasePlan Gaps – Health,,13,FALSE,FALSE,FALSE,case_plan_gaps_health
43029,GN211H,GN 2.11 HE HIV positive child/adolescent defaulted treatment,GN 2.11 HE HIV positive child/adolescent defaulted treatment,CasePlan Gaps – Health,,14,FALSE,FALSE,FALSE,case_plan_gaps_health
31200,GN31HE,GN 3.1 HE Adolescent has inadequate knowledge on HIV prevention,GN 3.1 HE Adolescent has inadequate knowledge on HIV prevention,CasePlan Gaps – Health,,1,FALSE,FALSE,FALSE,case_plan_gaps_health
31201,GN32HE,GN 3.2 HE Unable to describe two HIV infection risks,GN 3.2 HE Unable to describe two HIV infection risks,CasePlan Gaps – Health,,2,FALSE,FALSE,FALSE,case_plan_gaps_health
31202,GN33HE,GN 3.3 HE Unable to describe one example of how to prevent themselves from HIV risk,GN 3.3 HE Unable to describe one example of how to prevent themselves from HIV risk,CasePlan Gaps – Health,,3,FALSE,FALSE,FALSE,case_plan_gaps_health
31203,GN34HE,GN 3.4 HE Unable to correctly describe the location of at least one place where HIV prevention support is available,GN 3.4 HE Unable to correctly describe the location of at least one place where HIV prev,CasePlan Gaps – Health,,4,FALSE,FALSE,FALSE,case_plan_gaps_health
31205,GN42HE,GN 4.2 HE Child below the age of five assessed using MUAC and scored yellow/red (<12.5),GN 4.2 HE Child below the age of five assessed using MUAC and scored yellow/red (<12.5),CasePlan Gaps – Health,,5,FALSE,FALSE,FALSE,case_plan_gaps_health
31206,GN43HE,GN 4.3 HE Child below five years showed signs of bipedal edema,GN 4.3 HE Child below five years showed signs of bipedal edema,CasePlan Gaps – Health,,6,FALSE,FALSE,FALSE,case_plan_gaps_health
31207,GN44HE,GN 4.4 HE Clinician confirms that child previously treated for malnutrition has a Z score below <-2,GN 4.4 HE Clinician confirms that child previously treated for malnutrition has a Z s,CasePlan Gaps – Health,,7,FALSE,FALSE,FALSE,case_plan_gaps_health
31208,GN45HE,GN 4.5 HE Child below the age of two immunization not on track,GN 4.5 HE Child below the age of two immunization not on track,CasePlan Gaps – Health,,8,FALSE,FALSE,FALSE,case_plan_gaps_health
31250,GN61SA,GN 6.1 SA Caregiver has experienced violence and has not received post violence services,GN 6.1 SA Caregiver has experienced violence and has not received post violence services,CasePlan Gaps – Safe,,1,FALSE,FALSE,FALSE,case_plan_gaps_safe
31251,GN62SA,GN 6.2 SA Child (below 12 yrs) has experienced violence and has not received post violence services,GN 6.2 SA Child (below 12 yrs) has experienced violence and has not received post violen,CasePlan Gaps – Safe,,2,FALSE,FALSE,FALSE,case_plan_gaps_safe
31252,GN63SA,GN 6.3 SA Adolescent (12yrs and above) has experienced violence and has not received post violence services,GN 6.3 SA Adolescent (12yrs and above) has experienced violence and has not received pos,CasePlan Gaps – Safe,,3,FALSE,FALSE,FALSE,case_plan_gaps_safe
